sha256,family,date,label,vt,vt_scan_date,vt_year
0794123BCE26A5A41041131C8EF526E6C511D080ECD772269521328DB5849809, benign, 2014-01-02 00:07:16,0.0,0.0,2014-01-06 03:14:56,2014
019B62571B036CEBE2E4568F74000E84EAC2130AC4741353AF0389092E6F361E, benign, 2014-01-04 04:08:22,0.0,0.0,2014-01-09 07:13:01,2014
02855D27AC027F0C0A1C1935CC6A402FA2EEDCF4C1C390B9A24C52227AC121A3, benign, 2014-01-09 19:07:00,0.0,0.0,2014-01-10 22:10:34,2014
6122E3429665F17CE907A813CE890C33C7E8E8844823E737B5CCCC07ED0D3CB5, benign, 2014-01-11 01:16:34,0.0,0.0,2014-01-12 00:30:19,2014
B8197E81EE5CAB90A714B8CCE306C9501E0DFB9ECD3D2D834127CF0EF6F47FD2, benign, 2014-01-03 18:37:06,0.0,0.0,2014-01-12 05:12:32,2014
06379A2B6F50ABCF2C3101F2CE6ACA38EB0E1A29300C91C8FDF7973785D2F847, benign, 2014-01-12 17:18:58,0.0,0.0,2014-01-13 21:00:57,2014
01803526521E301CDEF8076806186B210950B3F012874BFD2507919875AF0FCD, benign, 2014-01-13 20:10:02,0.0,0.0,2014-01-14 02:47:38,2014
03476736249F2F5F7C7C6904E40802026A57C8E7101AA0CDD6E5616FA2F03DD5, benign, 2014-01-14 14:26:34,0.0,0.0,2014-01-14 23:40:10,2014
06D7D0DD499992B12E5F1C244D38249AA1E99ADA48A8524E0DDE776834856FB9, benign, 2014-01-08 18:14:32,0.0,0.0,2014-01-15 14:32:20,2014
6C38469B789ACF9FB473387775083AE0766CA7537FE29DEFE7191BE626B79798, benign, 2014-01-16 12:02:46,0.0,0.0,2014-01-16 17:06:26,2014
5AEF81F148451C13BE2C417153520C4F82925B8C35F645E8C206CF14F7994444, benign, 2014-01-14 00:54:14,0.0,0.0,2014-01-17 10:50:37,2014
D1C7302ECF671B5B41BEEB9C48D027F8E743FCAAC00225DF0EB6B5A7DD34BF4C, airpush, 2014-01-10 13:25:34,1.0,10.0,2014-01-17 13:18:35,2014
06EC75C8FA095412A056447CD379F1F70D5D5E713BC45C3C505739AEC24C496D, benign, 2014-01-13 22:57:06,0.0,0.0,2014-01-18 20:15:17,2014
